data,label
Enter 87 p 119 r 166 i 92 n 193 t 193 Shift 1275 ( 234 w,2
p 119 r 166 i 92 n 193 t 193 Shift 1275 ( 234 w 211 e,2
r 166 i 92 n 193 t 193 Shift 1275 ( 234 w 211 e 139 i,2
i 92 n 193 t 193 Shift 1275 ( 234 w 211 e 139 i 126 g,2
n 193 t 193 Shift 1275 ( 234 w 211 e 139 i 126 g 138 h,2
t 193 Shift 1275 ( 234 w 211 e 139 i 126 g 138 h 745 t,2
Shift 1275 ( 234 w 211 e 139 i 126 g 138 h 745 t 228 SPACE,2
( 234 w 211 e 139 i 126 g 138 h 745 t 228 SPACE 242 /,2
w 211 e 139 i 126 g 138 h 745 t 228 SPACE 242 / 242 SPACE,2
e 139 i 126 g 138 h 745 t 228 SPACE 242 / 242 SPACE 283 Shift,2
i 126 g 138 h 745 t 228 SPACE 242 / 242 SPACE 283 Shift 347 (,2
g 138 h 745 t 228 SPACE 242 / 242 SPACE 283 Shift 347 ( 153 h,2
h 745 t 228 SPACE 242 / 242 SPACE 283 Shift 347 ( 153 h 139 e,2
t 228 SPACE 242 / 242 SPACE 283 Shift 347 ( 153 h 139 e 109 i,2
SPACE 242 / 242 SPACE 283 Shift 347 ( 153 h 139 e 109 i 104 g,2
/ 242 SPACE 283 Shift 347 ( 153 h 139 e 109 i 104 g 116 h,2
SPACE 283 Shift 347 ( 153 h 139 e 109 i 104 g 116 h 497 t,2
Shift 347 ( 153 h 139 e 109 i 104 g 116 h 497 t 577 SPACE,2
( 153 h 139 e 109 i 104 g 116 h 497 t 577 SPACE 169 Shift,2
h 139 e 109 i 104 g 116 h 497 t 577 SPACE 169 Shift 305 *,2
e 109 i 104 g 116 h 497 t 577 SPACE 169 Shift 305 * 272 SPACE,2
i 104 g 116 h 497 t 577 SPACE 169 Shift 305 * 272 SPACE 68 h,2
g 116 h 497 t 577 SPACE 169 Shift 305 * 272 SPACE 68 h 298 e,2
h 497 t 577 SPACE 169 Shift 305 * 272 SPACE 68 h 298 e 198 i,2
t 577 SPACE 169 Shift 305 * 272 SPACE 68 h 298 e 198 i 127 g,2
SPACE 169 Shift 305 * 272 SPACE 68 h 298 e 198 i 127 g 127 h,2
Shift 305 * 272 SPACE 68 h 298 e 198 i 127 g 127 h 266 t,2
* 272 SPACE 68 h 298 e 198 i 127 g 127 h 266 t 196 Shift,2
SPACE 68 h 298 e 198 i 127 g 127 h 266 t 196 Shift 212 ),2
h 298 e 198 i 127 g 127 h 266 t 196 Shift 212 ) 616 ),2
e 198 i 127 g 127 h 266 t 196 Shift 212 ) 616 ) 712 Enter,2
i 127 g 127 h 266 t 196 Shift 212 ) 616 ) 712 Enter 106 p,2
g 127 h 266 t 196 Shift 212 ) 616 ) 712 Enter 106 p 112 r,2
h 266 t 196 Shift 212 ) 616 ) 712 Enter 106 p 112 r 242 i,2
t 196 Shift 212 ) 616 ) 712 Enter 106 p 112 r 242 i 211 n,2
Shift 212 ) 616 ) 712 Enter 106 p 112 r 242 i 211 n 242 t,2
) 616 ) 712 Enter 106 p 112 r 242 i 211 n 242 t 224 Shift,2
) 712 Enter 106 p 112 r 242 i 211 n 242 t 224 Shift 431 (,2
Enter 106 p 112 r 242 i 211 n 242 t 224 Shift 431 ( 199 x,2
p 112 r 242 i 211 n 242 t 224 Shift 431 ( 199 x 594 x,2
r 242 i 211 n 242 t 224 Shift 431 ( 199 x 594 x 281 Backspace,2
i 211 n 242 t 224 Shift 431 ( 199 x 594 x 281 Backspace 183 SPACE,2
n 242 t 224 Shift 431 ( 199 x 594 x 281 Backspace 183 SPACE 116 i,2
t 224 Shift 431 ( 199 x 594 x 281 Backspace 183 SPACE 116 i 96 f,2
Shift 431 ( 199 x 594 x 281 Backspace 183 SPACE 116 i 96 f 327 SPACE,2
( 199 x 594 x 281 Backspace 183 SPACE 116 i 96 f 327 SPACE 192 x,2
x 594 x 281 Backspace 183 SPACE 116 i 96 f 327 SPACE 192 x 333 SPACE,2
x 281 Backspace 183 SPACE 116 i 96 f 327 SPACE 192 x 333 SPACE 137 Shift,2
Backspace 183 SPACE 116 i 96 f 327 SPACE 192 x 333 SPACE 137 Shift 510 >,2
SPACE 116 i 96 f 327 SPACE 192 x 333 SPACE 137 Shift 510 > 161 Shift,2
i 96 f 327 SPACE 192 x 333 SPACE 137 Shift 510 > 161 Shift 267 =,2
f 327 SPACE 192 x 333 SPACE 137 Shift 510 > 161 Shift 267 = 666 SPACE,2
SPACE 192 x 333 SPACE 137 Shift 510 > 161 Shift 267 = 666 SPACE 202 y,2
x 333 SPACE 137 Shift 510 > 161 Shift 267 = 666 SPACE 202 y 228 SPACE,2
SPACE 137 Shift 510 > 161 Shift 267 = 666 SPACE 202 y 228 SPACE 141 e,2
Shift 510 > 161 Shift 267 = 666 SPACE 202 y 228 SPACE 141 e 104 l,2
> 161 Shift 267 = 666 SPACE 202 y 228 SPACE 141 e 104 l 175 s,2
Shift 267 = 666 SPACE 202 y 228 SPACE 141 e 104 l 175 s 358 e,2
= 666 SPACE 202 y 228 SPACE 141 e 104 l 175 s 358 e 559 SPACE,2
SPACE 202 y 228 SPACE 141 e 104 l 175 s 358 e 559 SPACE 368 y,2
y 228 SPACE 141 e 104 l 175 s 358 e 559 SPACE 368 y 265 Shift,2
SPACE 141 e 104 l 175 s 358 e 559 SPACE 368 y 265 Shift 320 ),2
e 104 l 175 s 358 e 559 SPACE 368 y 265 Shift 320 ) 881 Enter,2
l 175 s 358 e 559 SPACE 368 y 265 Shift 320 ) 881 Enter 158 p,2
s 358 e 559 SPACE 368 y 265 Shift 320 ) 881 Enter 158 p 104 r,2
e 559 SPACE 368 y 265 Shift 320 ) 881 Enter 158 p 104 r 133 i,2
SPACE 368 y 265 Shift 320 ) 881 Enter 158 p 104 r 133 i 196 n,2
y 265 Shift 320 ) 881 Enter 158 p 104 r 133 i 196 n 206 t,2
Shift 320 ) 881 Enter 158 p 104 r 133 i 196 n 206 t 189 Shift,2
) 881 Enter 158 p 104 r 133 i 196 n 206 t 189 Shift 217 (,2
Enter 158 p 104 r 133 i 196 n 206 t 189 Shift 217 ( 240 s,2
p 104 r 133 i 196 n 206 t 189 Shift 217 ( 240 s 734 [,2
r 133 i 196 n 206 t 189 Shift 217 ( 240 s 734 [ 332 0,2
i 196 n 206 t 189 Shift 217 ( 240 s 734 [ 332 0 791 ],2
n 206 t 189 Shift 217 ( 240 s 734 [ 332 0 791 ] 293 .,2
t 189 Shift 217 ( 240 s 734 [ 332 0 791 ] 293 . 224 u,2
Shift 217 ( 240 s 734 [ 332 0 791 ] 293 . 224 u 146 p,2
( 240 s 734 [ 332 0 791 ] 293 . 224 u 146 p 80 p,2
s 734 [ 332 0 791 ] 293 . 224 u 146 p 80 p 221 e,2
[ 332 0 791 ] 293 . 224 u 146 p 80 p 221 e 130 r,2
0 791 ] 293 . 224 u 146 p 80 p 221 e 130 r 165 Shift,2
] 293 . 224 u 146 p 80 p 221 e 130 r 165 Shift 175 (,2
. 224 u 146 p 80 p 221 e 130 r 165 Shift 175 ( 410 ),2
u 146 p 80 p 221 e 130 r 165 Shift 175 ( 410 ) 420 SPACE,2
p 80 p 221 e 130 r 165 Shift 175 ( 410 ) 420 SPACE 161 f,2
p 221 e 130 r 165 Shift 175 ( 410 ) 420 SPACE 161 f 100 o,2
e 130 r 165 Shift 175 ( 410 ) 420 SPACE 161 f 100 o 134 r,2
r 165 Shift 175 ( 410 ) 420 SPACE 161 f 100 o 134 r 189 SPACE,2
Shift 175 ( 410 ) 420 SPACE 161 f 100 o 134 r 189 SPACE 314 s,2
( 410 ) 420 SPACE 161 f 100 o 134 r 189 SPACE 314 s 821 SPACE,2
) 420 SPACE 161 f 100 o 134 r 189 SPACE 314 s 821 SPACE 179 i,2
SPACE 161 f 100 o 134 r 189 SPACE 314 s 821 SPACE 179 i 172 n,2
f 100 o 134 r 189 SPACE 314 s 821 SPACE 179 i 172 n 365 SPACE,2
o 134 r 189 SPACE 314 s 821 SPACE 179 i 172 n 365 SPACE 101 Shift,2
"r 189 SPACE 314 s 821 SPACE 179 i 172 n 365 SPACE 101 Shift 267 """,2
"SPACE 314 s 821 SPACE 179 i 172 n 365 SPACE 101 Shift 267 "" 160 a",2
"s 821 SPACE 179 i 172 n 365 SPACE 101 Shift 267 "" 160 a 218 b",2
"SPACE 179 i 172 n 365 SPACE 101 Shift 267 "" 160 a 218 b 318 c",2
"i 172 n 365 SPACE 101 Shift 267 "" 160 a 218 b 318 c 223 d",2
"n 365 SPACE 101 Shift 267 "" 160 a 218 b 318 c 223 d 242 e",2
"SPACE 101 Shift 267 "" 160 a 218 b 318 c 223 d 242 e 311 f",2
"Shift 267 "" 160 a 218 b 318 c 223 d 242 e 311 f 241 g",2
""" 160 a 218 b 318 c 223 d 242 e 311 f 241 g 89 Shift",2
"a 218 b 318 c 223 d 242 e 311 f 241 g 89 Shift 253 """,2
"b 318 c 223 d 242 e 311 f 241 g 89 Shift 253 "" 156 Shift",2
"c 223 d 242 e 311 f 241 g 89 Shift 253 "" 156 Shift 208 )",2
"d 242 e 311 f 241 g 89 Shift 253 "" 156 Shift 208 ) 569 )",2
r 151 i 116 n 214 t 209 Shift 289 ( 44 m 229 a 51 t,2
i 116 n 214 t 209 Shift 289 ( 44 m 229 a 51 t 238 h,2
n 214 t 209 Shift 289 ( 44 m 229 a 51 t 238 h 188 .,2
t 209 Shift 289 ( 44 m 229 a 51 t 238 h 188 . 140 s,2
Shift 289 ( 44 m 229 a 51 t 238 h 188 . 140 s 154 i,2
( 44 m 229 a 51 t 238 h 188 . 140 s 154 i 284 n,2
m 229 a 51 t 238 h 188 . 140 s 154 i 284 n 221 Shift,2
a 51 t 238 h 188 . 140 s 154 i 284 n 221 Shift 278 (,2
t 238 h 188 . 140 s 154 i 284 n 221 Shift 278 ( 40 m,2
h 188 . 140 s 154 i 284 n 221 Shift 278 ( 40 m 221 a,2
. 140 s 154 i 284 n 221 Shift 278 ( 40 m 221 a 68 t,2
s 154 i 284 n 221 Shift 278 ( 40 m 221 a 68 t 222 h,2
i 284 n 221 Shift 278 ( 40 m 221 a 68 t 222 h 395 .,2
n 221 Shift 278 ( 40 m 221 a 68 t 222 h 395 . 970 s,2
Shift 278 ( 40 m 221 a 68 t 222 h 395 . 970 s 412 Backspace,2
( 40 m 221 a 68 t 222 h 395 . 970 s 412 Backspace 206 p,2
m 221 a 68 t 222 h 395 . 970 s 412 Backspace 206 p 326 i,2
a 68 t 222 h 395 . 970 s 412 Backspace 206 p 326 i 500 Shift,2
t 222 h 395 . 970 s 412 Backspace 206 p 326 i 500 Shift 228 /,2
h 395 . 970 s 412 Backspace 206 p 326 i 500 Shift 228 / 201 2,2
. 970 s 412 Backspace 206 p 326 i 500 Shift 228 / 201 2 221 Shift,2
s 412 Backspace 206 p 326 i 500 Shift 228 / 201 2 221 Shift 171 ),2
Backspace 206 p 326 i 500 Shift 228 / 201 2 221 Shift 171 ) 384 ),2
p 326 i 500 Shift 228 / 201 2 221 Shift 171 ) 384 ) 699 Enter,2
i 500 Shift 228 / 201 2 221 Shift 171 ) 384 ) 699 Enter 123 p,2
Shift 228 / 201 2 221 Shift 171 ) 384 ) 699 Enter 123 p 101 r,2
/ 201 2 221 Shift 171 ) 384 ) 699 Enter 123 p 101 r 133 i,2
2 221 Shift 171 ) 384 ) 699 Enter 123 p 101 r 133 i 145 n,2
Shift 171 ) 384 ) 699 Enter 123 p 101 r 133 i 145 n 245 t,2
) 384 ) 699 Enter 123 p 101 r 133 i 145 n 245 t 216 Shift,2
) 699 Enter 123 p 101 r 133 i 145 n 245 t 216 Shift 902 (,2
Enter 123 p 101 r 133 i 145 n 245 t 216 Shift 902 ( 258 [,2
p 101 r 133 i 145 n 245 t 216 Shift 902 ( 258 [ 361 Shift,2
"r 133 i 145 n 245 t 216 Shift 902 ( 258 [ 361 Shift 606 """,2
"i 145 n 245 t 216 Shift 902 ( 258 [ 361 Shift 606 "" 139 o",2
"n 245 t 216 Shift 902 ( 258 [ 361 Shift 606 "" 139 o 197 r",2
"t 216 Shift 902 ( 258 [ 361 Shift 606 "" 139 o 197 r 165 a",2
"Shift 902 ( 258 [ 361 Shift 606 "" 139 o 197 r 165 a 86 n",2
"( 258 [ 361 Shift 606 "" 139 o 197 r 165 a 86 n 92 g",2
"[ 361 Shift 606 "" 139 o 197 r 165 a 86 n 92 g 205 e",2
"Shift 606 "" 139 o 197 r 165 a 86 n 92 g 205 e 308 s",2
""" 139 o 197 r 165 a 86 n 92 g 205 e 308 s 108 Shift",2
"o 197 r 165 a 86 n 92 g 205 e 308 s 108 Shift 873 """,2
"r 165 a 86 n 92 g 205 e 308 s 108 Shift 873 "" 203 ,",2
"a 86 n 92 g 205 e 308 s 108 Shift 873 "" 203 , 206 SPACE",2
"n 92 g 205 e 308 s 108 Shift 873 "" 203 , 206 SPACE 101 Shift",2
"g 205 e 308 s 108 Shift 873 "" 203 , 206 SPACE 101 Shift 582 """,2
"e 308 s 108 Shift 873 "" 203 , 206 SPACE 101 Shift 582 "" 154 t",2
"s 108 Shift 873 "" 203 , 206 SPACE 101 Shift 582 "" 154 t 116 a",2
"Shift 873 "" 203 , 206 SPACE 101 Shift 582 "" 154 t 116 a 159 b",2
""" 203 , 206 SPACE 101 Shift 582 "" 154 t 116 a 159 b 44 l",2
", 206 SPACE 101 Shift 582 "" 154 t 116 a 159 b 44 l 278 e",2
"SPACE 101 Shift 582 "" 154 t 116 a 159 b 44 l 278 e 576 s",2
"Shift 582 "" 154 t 116 a 159 b 44 l 278 e 576 s 152 Shift",2
""" 154 t 116 a 159 b 44 l 278 e 576 s 152 Shift 1080 """,2
"t 116 a 159 b 44 l 278 e 576 s 152 Shift 1080 "" 376 ]",2
"a 159 b 44 l 278 e 576 s 152 Shift 1080 "" 376 ] 265 Shift",2
"b 44 l 278 e 576 s 152 Shift 1080 "" 376 ] 265 Shift 332 )",2
"l 278 e 576 s 152 Shift 1080 "" 376 ] 265 Shift 332 ) 787 Enter",2
"e 576 s 152 Shift 1080 "" 376 ] 265 Shift 332 ) 787 Enter 131 p",2
"s 152 Shift 1080 "" 376 ] 265 Shift 332 ) 787 Enter 131 p 64 r",2
"Shift 1080 "" 376 ] 265 Shift 332 ) 787 Enter 131 p 64 r 156 i",2
""" 376 ] 265 Shift 332 ) 787 Enter 131 p 64 r 156 i 122 n",2
] 265 Shift 332 ) 787 Enter 131 p 64 r 156 i 122 n 270 t,2
Shift 332 ) 787 Enter 131 p 64 r 156 i 122 n 270 t 293 Shift,2
) 787 Enter 131 p 64 r 156 i 122 n 270 t 293 Shift 342 (,2
Enter 131 p 64 r 156 i 122 n 270 t 293 Shift 342 ( 562 w,2
p 64 r 156 i 122 n 270 t 293 Shift 342 ( 562 w 256 e,2
r 156 i 122 n 270 t 293 Shift 342 ( 562 w 256 e 183 i,2
i 122 n 270 t 293 Shift 342 ( 562 w 256 e 183 i 216 g,2
n 270 t 293 Shift 342 ( 562 w 256 e 183 i 216 g 89 h,2
t 293 Shift 342 ( 562 w 256 e 183 i 216 g 89 h 937 t,2
Shift 342 ( 562 w 256 e 183 i 216 g 89 h 937 t 222 SPACE,2
( 562 w 256 e 183 i 216 g 89 h 937 t 222 SPACE 223 /,2
w 256 e 183 i 216 g 89 h 937 t 222 SPACE 223 / 235 SPACE,2
e 183 i 216 g 89 h 937 t 222 SPACE 223 / 235 SPACE 224 Shift,2
i 216 g 89 h 937 t 222 SPACE 223 / 235 SPACE 224 Shift 247 (,2
g 89 h 937 t 222 SPACE 223 / 235 SPACE 224 Shift 247 ( 97 h,2
